0xfdfdfe,pale grey
0x77ab56,asparagus
0x464196,blueberry
0x990147,purple red
0xbefd73,pale lime
0x32bf84,greenish teal
0xaf6f09,caramel
0xa0025c,deep magenta
0xffd8b1,light peach
0x7f4e1e,milk chocolate
0xbf9b0c,ocher
0x6ba353,off green
0xf075e6,purply pink
0x7bc8f6,lightblue
0x475f94,dusky blue
0xf5bf03,golden
0xfffeb6,light beige
0xfffd74,butter yellow
0x895b7b,dusky purple
0x436bad,french blue
0xd0c101,ugly yellow
0xc6f808,greeny yellow
0xf43605,orangish red
0x02c14d,shamrock green
0xb25f03,orangish brown
0x2a7e19,tree green
0x490648,deep violet
0x536267,gunmetal
0x5a06ef,blue/purple
0xcf0234,cherry
0xc4a661,sandy brown
0x978a84,warm grey
0x1f0954,dark indigo
0x03012d,midnight
0x2bb179,bluey green
0xc3909b,grey pink
0xa66fb5,soft purple
0x770001,blood
0x922b05,brown red
0x7d7f7c,medium grey
0x990f4b,berry
0x8f7303,poo
0xc83cb9,purpley pink
0xfea993,light salmon
0xacbb0d,snot
0xc071fe,easter purple
0xccfd7f,light yellow green
0x00022e,dark navy blue
0x828344,drab
0xffc5cb,light rose
0xab1239,rouge
0xb0054b,purplish red
0x99cc04,slime green
0x937c00,baby poop
0x019529,irish green
0xef1de7,pink/purple
0x000435,dark navy
0x42b395,greeny blue
0x9d5783,light plum
0xc8aca9,pinkish grey
0xc87606,dirty orange
0xaa2704,rust red
0xe4cbff,pale lilac
0xfa4224,orangey red
0x0804f9,primary blue
0x5cb200,kermit green
0x76424e,brownish purple
0x6c7a0e,murky green
0xfbdd7e,wheat
0x2a0134,very dark purple
0x044a05,bottle green
0xfd4659,watermelon
0x0d75f8,deep sky blue
0xfe0002,fire engine red
0xcb9d06,yellow ochre
0xfb7d07,pumpkin orange
0xb9cc81,pale olive
0xedc8ff,light lilac
0x61e160,lightish green
0x8ab8fe,carolina blue
0x920a4e,mulberry
0xfe02a2,shocking pink
0x9a3001,auburn
0x65fe08,bright lime green
0xbefdb7,celadon
0xb17261,pinkish brown
0x885f01,poo brown
0x02ccfe,bright sky blue
0xc1fd95,celery
0x836539,dirt brown
0xfb2943,strawberry
0x84b701,dark lime
0xb66325,copper
0x7f5112,medium brown
0x5fa052,muted green
0x6dedfd,robin's egg
0x0bf9ea,bright aqua
0xc760ff,bright lavender
0xffffcb,ivory
0xf6cefc,very light purple
0x155084,light navy
0xf5054f,pink red
0x645403,olive brown
0x7a5901,poop brown
0xa8b504,mustard green
0x3d9973,ocean green
0x000133,very dark blue
0x76a973,dusty green
0x2e5a88,light navy blue
0x0bf77d,minty green
0xbd6c48,adobe
0xac1db8,barney
0x2baf6a,jade green
0x26f7fd,bright light blue
0xaefd6c,light lime
0x9b8f55,dark khaki
0xffad01,orange yellow
0xc69c04,ocre
0xf4d054,maize
0xde9dac,faded pink
0x05480d,british racing green
0xc9ae74,sandstone
0x60460f,mud brown
0x98f6b0,light sea green
0x8af1fe,robin egg blue
0x2ee8bb,aqua marine
0x11875d,dark sea green
0xfdb0c0,soft pink
0xb16002,orangey brown
0xf7022a,cherry red
0xd5ab09,burnt yellow
0x86775f,brownish grey
0xc69f59,camel
0x7a687f,purplish grey
0x042e60,marine
0xc88d94,greyish pink
0xa5fbd5,pale turquoise
0xfffe71,pastel yellow
0x6241c7,bluey purple
0xfffe40,canary yellow
0xd3494e,faded red
0x985e2b,sepia
0xa6814c,coffee
0xff08e8,bright magenta
0x9d7651,mocha
0xfeffca,ecru
0x98568d,purpleish
0x9e003a,cranberry
0x287c37,darkish green
0xb96902,brown orange
0xba6873,dusky rose
0xff7855,melon
0x94b21c,sickly green
0xc5c9c7,silver
0x661aee,purply blue
0x6140ef,purpleish blue
0x9be5aa,hospital green
0x7b5804,shit brown
0x276ab3,mid blue
0xfeb308,amber
0x8cfd7e,easter green
0x6488ea,soft blue
0x056eee,cerulean blue
0xb27a01,golden brown
0x0ffef9,bright turquoise
0xfa2a55,red pink
0x820747,red purple
0x7a6a4f,greyish brown
0xf4320c,vermillion
0xa13905,russet
0x6f828a,steel grey
0xa55af4,lighter purple
0xad0afd,bright violet
0x004577,prussian blue
0x658d6d,slate green
0xca7b80,dirty pink
0x005249,dark blue green
0x2b5d34,pine
0xbff128,yellowy green
0xb59410,dark gold
0x2976bb,bluish
0x014182,darkish blue
0xbb3f3f,dull red
0xfc2647,pinky red
0xa87900,bronze
0x82cbb2,pale teal
0x667c3e,military green
0xfe46a5,barbie pink
0xfe83cc,bubblegum pink
0x94a617,pea soup green
0xa88905,dark mustard
0x7f5f00,shit
0x9e43a2,medium purple
0x062e03,very dark green
0x8a6e45,dirt
0xcc7a8b,dusky pink
0x9e0168,red violet
0xfdff38,lemon yellow
0xc0fa8b,pistachio
0xeedc5b,dull yellow
0x7ebd01,dark lime green
0x3b5b92,denim blue
0x01889f,teal blue
0x3d7afd,lightish blue
0x5f34e7,purpley blue
0x6d5acf,light indigo
0x748500,swamp green
0x706c11,brown green
0x3c0008,dark maroon
0xcb00f5,hot purple
0x002d04,dark forest green
0x658cbb,faded blue
0x749551,drab green
0xb9ff66,light lime green
0x9dc100,snot green
0xfaee66,yellowish
0x7efbb3,light blue green
0x7b002c,bordeaux
0xc292a1,light mauve
0x017b92,ocean
0xfcc006,marigold
0x657432,muddy green
0xd8863b,dull orange
0x738595,steel
0xaa23ff,electric purple
0x08ff08,fluorescent green
0x9b7a01,yellowish brown
0xf29e8e,blush
0x6fc276,soft green
0xff5b00,bright orange
0xfdff52,lemon
0x866f85,purple grey
0x8ffe09,acid green
0xeecffe,pale lavender
0x510ac9,violet blue
0x4f9153,light forest green
0x9f2305,burnt red
0x728639,khaki green
0xde0c62,cerise
0x916e99,faded purple
0xffb16d,apricot
0x3c4d03,dark olive green
0x7f7053,grey brown
0x77926f,green grey
0x010fcc,true blue
0xceaefa,pale violet
0x8f99fb,periwinkle blue
0xc6fcff,light sky blue
0x5539cc,blurple
